ANZSCO,Occupation,manual_telework
139999,Specialist Managers nec,1
1399,Other Specialist Managers,1
140000,"Hospitality, Retail and Service Managers nfd",1
141000,Accommodation and Hospitality Managers nfd,0
141111,Cafe or Restaurant Manager,0
141211,Caravan Park and Camping Ground Manager,0
141311,Hotel or Motel Manager,0
141411,Licensed Club Manager,0
141900,Other Accommodation and Hospitality Managers nfd,0
141911,Bed and Breakfast Operator,0
141912,Retirement Village Manager,0
141999,Accommodation and Hospitality Managers nec,0
1419,Other Accommodation and Hospitality Managers,0
142100,Retail Managers nfd,0
142111,Retail Manager (General),0
142112,Antique Dealer,1
142113,Betting Agency Manager,1
142114,Hair or Beauty Salon Manager,0
142115,Post Office Manager,1
142116,Travel Agency Manager,1
1421,Retail Managers,1
149000,"Miscellaneous Hospitality, Retail and Service Managers nfd",1
149100,"Amusement, Fitness and Sports Centre Managers nfd",0
149111,Amusement Centre Manager,0
149112,Fitness Centre Manager,0
149113,Sports Centre Manager,0
1491,"Amusement, Fitness and Sports Centre Managers",0
149200,Call or Contact Centre and Customer Service Managers nfd,1
149211,Call or Contact Centre Manager,1
149212,Customer Service Manager,1
1492,Call or Contact Centre and Customer Service Managers,1
149311,Conference and Event Organiser,1
149400,Transport Services Managers nfd,1
149411,Fleet Manager,1
149412,Railway Station Manager,0
149413,Transport Company Manager,1
1494,Transport Services Managers,1
149900,"Other Hospitality, Retail and Service Managers nfd",1
149911,Boarding Kennel or Cattery Operator,0
149912,Cinema or Theatre Manager,0
149913,Facilities Manager,1
149914,Financial Institution Branch Manager,1
149915,Equipment Hire Manager,1
149999,"Hospitality, Retail and Service Managers nec",1
1499,"Other Hospitality, Retail and Service Managers",1
200000,Professionals nfd,1
210000,Arts and Media Professionals nfd,1
211000,Arts Professionals nfd,1
211100,"Actors, Dancers and Other Entertainers nfd",0
211111,Actor,0
211112,Dancer or Choreographer,0
211113,Entertainer or Variety Artist,0
211199,"Actors, Dancers and Other Entertainers nec",0
2111,"Actors, Dancers and Other Entertainers",0
211200,Music Professionals nfd,1
211211,Composer,1
211212,Music Director,1
211213,Musician (Instrumental),1
211214,Singer,1
211299,Music Professionals nec,1
2112,Music Professionals,1
211311,Photographer,0
211400,Visual Arts and Crafts Professionals nfd,1
211411,Painter (Visual Arts),1
211412,Potter or Ceramic Artist,1
211413,Sculptor,1
211499,Visual Arts and Crafts Professionals nec,1
2114,Visual Arts and Crafts Professionals,1
212000,Media Professionals nfd,1
212100,"Artistic Directors, and Media Producers and Presenters nfd",1
212111,Artistic Director,1
212112,Media Producer (excluding Video),1
212113,Radio Presenter,1
212114,Television Presenter,1
2121,"Artistic Directors, and Media Producers and Presenters",1
212200,"Authors, and Book and Script Editors nfd",1
212211,Author,1
212212,Book or Script Editor,1
2122,"Authors, and Book and Script Editors",1
212300,"Film, Television, Radio and Stage Directors nfd",0
212311,"Art Director (Film, Television or Stage)",0
212312,"Director (Film, Television, Radio or Stage)",0
212313,Director of Photography,0
212314,Film and Video Editor,1
212315,Program Director (Television or Radio),1
212316,Stage Manager,0
212317,Technical Director,1
212318,Video Producer,1
212399,"Film, Television, Radio and Stage Directors nec",0
2123,"Film, Television, Radio and Stage Directors",0
212400,Journalists and Other Writers nfd,1
212411,Copywriter,1
212412,Newspaper or Periodical Editor,1
212413,Print Journalist,1
212414,Radio Journalist,1
212415,Technical Writer,1
212416,Television Journalist,1
212499,Journalists and Other Writers nec,1
2124,Journalists and Other Writers,1
220000,"Business, Human Resource and Marketing Professionals nfd",1
221000,"Accountants, Auditors and Company Secretaries nfd",1
221100,Accountants nfd,1
221111,Accountant (General),1
221112,Management Accountant,1
221113,Taxation Accountant,1
2211,Accountants,1
221200,"Auditors, Company Secretaries and Corporate Treasurers nfd",1
221211,Company Secretary,1
221212,Corporate Treasurer,1
221213,External Auditor,1
221214,Internal Auditor,1
2212,"Auditors, Company Secretaries and Corporate Treasurers",1
222000,"Financial Brokers and Dealers, and Investment Advisers nfd",1
222100,Financial Brokers nfd,1
222111,Commodities Trader,1
222112,Finance Broker,1
222113,Insurance Broker,1
222199,Financial Brokers nec,1
2221,Financial Brokers,1
222200,Financial Dealers nfd,1
222211,Financial Market Dealer,1
222212,Futures Trader,1
222213,Stockbroking Dealer,1
222299,Financial Dealers nec,1
2222,Financial Dealers,1
222300,Financial Investment Advisers and Managers nfd,1
222311,Financial Investment Adviser,1
222312,Financial Investment Manager,1
2223,Financial Investment Advisers and Managers,1
223000,Human Resource and Training Professionals nfd,1
223100,Human Resource Professionals nfd,1
223111,Human Resource Adviser,1
223112,Recruitment Consultant,1
223113,Workplace Relations Adviser,1
2231,Human Resource Professionals,1
223211,ICT Trainer,1
223311,Training and Development Professional,1
224000,Information and Organisation Professionals nfd,1
224100,"Actuaries, Mathematicians and Statisticians nfd",1
224111,Actuary,1
224112,Mathematician,1
224113,Statistician,1
2241,"Actuaries, Mathematicians and Statisticians",1
224200,"Archivists, Curators and Records Managers nfd",1
224211,Archivist,0
224212,Gallery or Museum Curator,0
224213,Health Information Manager,1
224214,Records Manager,1
2242,"Archivists, Curators and Records Managers",1
224311,Economist,1
224400,Intelligence and Policy Analysts nfd,1
224411,Intelligence Officer,1
224412,Policy Analyst,1
2244,Intelligence and Policy Analysts,1
224500,Land Economists and Valuers nfd,1
224511,Land Economist,1
224512,Valuer,0
2245,Land Economists and Valuers,0
224611,Librarian,1
224700,Management and Organisation Analysts nfd,1
224711,Management Consultant,1
224712,Organisation and Methods Analyst,1
2247,Management and Organisation Analysts,1
224900,Other Information and Organisation Professionals nfd,1
224911,Electorate Officer,1
224912,Liaison Officer,1
224913,Migration Agent,1
224914,Patents Examiner,1
224999,Information and Organisation Professionals nec,1
2249,Other Information and Organisation Professionals,1
225000,"Sales, Marketing and Public Relations Professionals nfd",1
225100,Advertising and Marketing Professionals nfd,1
225111,Advertising Specialist,1
225112,Market Research Analyst,1
225113,Marketing Specialist,1
2251,Advertising and Marketing Professionals,1
225200,ICT Sales Professionals nfd,1
225211,ICT Account Manager,1
225212,ICT Business Development Manager,1
225213,ICT Sales Representative,1
2252,ICT Sales Professionals,1
225311,Public Relations Professional,1
225400,Technical Sales Representatives nfd,0
225411,Sales Representative (Industrial Products),0
225412,Sales Representative (Medical and Pharmaceutical Products),0
225499,Technical Sales Representatives nec,0
2254,Technical Sales Representatives,0
230000,"Design, Engineering, Science and Transport Professionals nfd",1
231000,Air and Marine Transport Professionals nfd,0
231100,Air Transport Professionals nfd,0
231111,Aeroplane Pilot,0
231112,Air Traffic Controller,1
231113,Flying Instructor,0
231114,Helicopter Pilot,0
231199,Air Transport Professionals nec,0
2311,Air Transport Professionals,0
231200,Marine Transport Professionals nfd,0
231211,Master Fisher,0
231212,Ship's Engineer,0
231213,Ship's Master,0
231214,Ship's Officer,0
231215,Marine Surveyor,0
231299,Marine Transport Professionals nec,0
2312,Marine Transport Professionals,0
232000,"Architects, Designers, Planners and Surveyors nfd",1
232100,Architects and Landscape Architects nfd,1
232111,Architect,1
232112,Landscape Architect,1
2321,Architects and Landscape Architects,1
232200,Surveyors and Spatial Scientists nfd,0
232212,Surveyor,0
232213,Cartographer,0
232214,Other Spatial Scientist,0
2322,Surveyors and Spatial Scientists,0
232300,"Fashion, Industrial and Jewellery Designers nfd",1
232311,Fashion Designer,1
232312,Industrial Designer,1
232313,Jewellery Designer,1
2323,"Fashion, Industrial and Jewellery Designers",1
232400,"Graphic and Web Designers, and Illustrators nfd",1
232411,Graphic Designer,1
232412,Illustrator,1
232413,Multimedia Designer,1
232414,Web Designer,1
2324,"Graphic and Web Designers, and Illustrators",1
232511,Interior Designer,1
232611,Urban and Regional Planner,1
233000,Engineering Professionals nfd,1
233100,Chemical and Materials Engineers nfd,0
233111,Chemical Engineer,0
233112,Materials Engineer,0
2331,Chemical and Materials Engineers,0
233200,Civil Engineering Professionals nfd,1
233211,Civil Engineer,1
233212,Geotechnical Engineer,1
233213,Quantity Surveyor,1
233214,Structural Engineer,1
233215,Transport Engineer,1
2332,Civil Engineering Professionals,1
233311,Electrical Engineer,0
233411,Electronics Engineer,0
233500,"Industrial, Mechanical and Production Engineers nfd",0
233511,Industrial Engineer,0
233512,Mechanical Engineer,0
233513,Production or Plant Engineer,0
2335,"Industrial, Mechanical and Production Engineers",0
233600,Mining Engineers nfd,0
233611,Mining Engineer (excluding Petroleum),0
233612,Petroleum Engineer,0
2336,Mining Engineers,0
233900,Other Engineering Professionals nfd,0
233911,Aeronautical Engineer,0
233912,Agricultural Engineer,0
233913,Biomedical Engineer,0
233914,Engineering Technologist,
233915,Environmental Engineer,
233916,Naval Architect,
233999,Engineering Professionals nec,
2339,Other Engineering Professionals,
234000,Natural and Physical Science Professionals nfd,
234100,Agricultural and Forestry Scientists nfd,
234111,Agricultural Consultant,
234112,Agricultural Scientist,
234113,Forester,
2341,Agricultural and Forestry Scientists,
234200,"Chemists, and Food and Wine Scientists nfd",
234211,Chemist,
234212,Food Technologist,
234213,Wine Maker,
2342,"Chemists, and Food and Wine Scientists",
234300,Environmental Scientists nfd,
234311,Conservation Officer,
234312,Environmental Consultant,
234313,Environmental Research Scientist,
234314,Park Ranger,
234399,Environmental Scientists nec,
2343,Environmental Scientists,
234400,"Geologists, Geophysicists and Hydrogeologists nfd",
234411,Geologist,
234412,Geophysicist,
234413,Hydrogeologist,
2344,"Geologists, Geophysicists and Hydrogeologists",
234500,Life Scientists nfd,
234511,Life Scientist (General),
234513,Biochemist,
234514,Biotechnologist,
234515,Botanist,
234516,Marine Biologist,
234517,Microbiologist,
234518,Zoologist,
234599,Life Scientists nec,
2345,Life Scientists,
234611,Medical Laboratory Scientist,
234711,Veterinarian,
234900,Other Natural and Physical Science Professionals nfd,
234911,Conservator,
234912,Metallurgist,
234913,Meteorologist,
234914,Physicist,
234915,Exercise Physiologist,
234999,Natural and Physical Science Professionals nec,
2349,Other Natural and Physical Science Professionals,
240000,Education Professionals nfd,
241000,School Teachers nfd,
241111,Early Childhood (Pre-primary School) Teacher,
241213,Primary School Teacher,
241311,Middle School Teacher,
241411,Secondary School Teacher,
241500,Special Education Teachers nfd,
241511,Special Needs Teacher,
241512,Teacher of the Hearing Impaired,
241513,Teacher of the Sight Impaired,
241599,Special Education Teachers nec,
2415,Special Education Teachers,
242000,Tertiary Education Teachers nfd,
242100,University Lecturers and Tutors nfd,
242111,University Lecturer,
242112,University Tutor,
2421,University Lecturers and Tutors,
242211,Vocational Education Teacher,
249000,Miscellaneous Education Professionals nfd,
249100,Education Advisers and Reviewers nfd,
249111,Education Adviser,
249112,Education Reviewer,
2491,Education Advisers and Reviewers,
249200,Private Tutors and Teachers nfd,
249211,Art Teacher (Private Tuition),
249212,Dance Teacher (Private Tuition),
249213,Drama Teacher (Private Tuition),
249214,Music Teacher (Private Tuition),
249299,Private Tutors and Teachers nec,
2492,Private Tutors and Teachers,
249311,Teacher of English to Speakers of Other Languages,
250000,Health Professionals nfd,
251000,Health Diagnostic and Promotion Professionals nfd,
251100,Nutrition Professionals nfd,
251111,Dietitian,
251112,Nutritionist,
2511,Nutrition Professionals,
251200,Medical Imaging Professionals nfd,
251211,Medical Diagnostic Radiographer,
251212,Medical Radiation Therapist,
251213,Nuclear Medicine Technologist,
251214,Sonographer,
2512,Medical Imaging Professionals,
251300,Occupational and Environmental Health Professionals nfd,
251311,Environmental Health Officer,
251312,Occupational Health and Safety Adviser,
2513,Occupational and Environmental Health Professionals,
251400,Optometrists and Orthoptists nfd,
251411,Optometrist,
251412,Orthoptist,
2514,Optometrists and Orthoptists,
251500,Pharmacists nfd,
251511,Hospital Pharmacist,
251512,Industrial Pharmacist,
251513,Retail Pharmacist,
2515,Pharmacists,
251900,Other Health Diagnostic and Promotion Professionals nfd,
251911,Health Promotion Officer,
251912,Orthotist or Prosthetist,
251999,Health Diagnostic and Promotion Professionals nec,
2519,Other Health Diagnostic and Promotion Professionals,
252000,Health Therapy Professionals nfd,
252100,Chiropractors and Osteopaths nfd,
252111,Chiropractor,
252112,Osteopath,
2521,Chiropractors and Osteopaths,
252200,Complementary Health Therapists nfd,
252211,Acupuncturist,
252212,Homoeopath,
252213,Naturopath,
252214,Traditional Chinese Medicine Practitioner,
252299,Complementary Health Therapists nec,
2522,Complementary Health Therapists,
252300,Dental Practitioners nfd,
252311,Dental Specialist,
252312,Dentist,
2523,Dental Practitioners,
252411,Occupational Therapist,
252511,Physiotherapist,
252611,Podiatrist,
252700,Audiologists and Speech Pathologists \ Therapists nfd,
252711,Audiologist,
252712,Speech Pathologist,
2527,Audiologists and Speech Pathologists \ Therapists,
253000,Medical Practitioners nfd,
253100,General Practitioners and Resident Medical Officers nfd,
253111,General Practitioner,
253112,Resident Medical Officer,
2531,General Practitioners and Resident Medical Officers,
253211,Anaesthetist,
253300,Specialist Physicians nfd,
253311,Specialist Physician (General Medicine),
253312,Cardiologist,
253313,Clinical Haematologist,
253314,Medical Oncologist,
253315,Endocrinologist,
253316,Gastroenterologist,
253317,Intensive Care Specialist,
253318,Neurologist,
253321,Paediatrician,
253322,Renal Medicine Specialist,
253323,Rheumatologist,
253324,Thoracic Medicine Specialist,
253399,Specialist Physicians nec,
2533,Specialist Physicians,
253411,Psychiatrist,
253500,Surgeons nfd,
253511,Surgeon (General),
253512,Cardiothoracic Surgeon,
253513,Neurosurgeon,
253514,Orthopaedic Surgeon,
253515,Otorhinolaryngologist,
253516,Paediatric Surgeon,
253517,Plastic and Reconstructive Surgeon,
253518,Urologist,
253521,Vascular Surgeon,
2535,Surgeons,
253900,Other Medical Practitioners nfd,
253911,Dermatologist,
253912,Emergency Medicine Specialist,
253913,Obstetrician and Gynaecologist,
253914,Ophthalmologist,
253915,Pathologist,
253917,Diagnostic and Interventional Radiologist,
253918,Radiation Oncologist,
253999,Medical Practitioners nec,
2539,Other Medical Practitioners,
254000,Midwifery and Nursing Professionals nfd,
254111,Midwife,
254200,Nurse Educators and Researchers nfd,
254211,Nurse Educator,
254212,Nurse Researcher,
2542,Nurse Educators and Researchers,
254311,Nurse Manager,
254400,Registered Nurses nfd,
254411,Nurse Practitioner,
254412,Registered Nurse (Aged Care),
254413,Registered Nurse (Child and Family Health),
254414,Registered Nurse (Community Health),
254415,Registered Nurse (Critical Care and Emergency),
254416,Registered Nurse (Developmental Disability),
254417,Registered Nurse (Disability and Rehabilitation),
254418,Registered Nurse (Medical),
254421,Registered Nurse (Medical Practice),
254422,Registered Nurse (Mental Health),
254423,Registered Nurse (Perioperative),
254424,Registered Nurse (Surgical),
254425,Registered Nurse (Paediatrics),
254499,Registered Nurses nec,
2544,Registered Nurses,
260000,ICT Professionals nfd,
261000,"Business and Systems Analysts, and Programmers nfd",
261100,ICT Business and Systems Analysts nfd,
261111,ICT Business Analyst,
261112,Systems Analyst,
2611,ICT Business and Systems Analysts,
261200,Multimedia Specialists and Web Developers nfd,
261211,Multimedia Specialist,
261212,Web Developer,
2612,Multimedia Specialists and Web Developers,
261300,Software and Applications Programmers nfd,
261311,Analyst Programmer,
261312,Developer Programmer,
261313,Software Engineer,
261314,Software Tester,
261399,Software and Applications Programmers nec,
2613,Software and Applications Programmers,
262100,"Database and Systems Administrators, and ICT Security Specialists nfd",
262111,Database Administrator,
262112,ICT Security Specialist,
262113,Systems Administrator,
2621,"Database and Systems Administrators, and ICT Security Specialists",
263000,ICT Network and Support Professionals nfd,
263100,Computer Network Professionals nfd,
263111,Computer Network and Systems Engineer,
263112,Network Administrator,
263113,Network Analyst,
2631,Computer Network Professionals,
263200,ICT Support and Test Engineers nfd,
263211,ICT Quality Assurance Engineer,
263212,ICT Support Engineer,
263213,ICT Systems Test Engineer,
263299,ICT Support and Test Engineers nec,
2632,ICT Support and Test Engineers,
263300,Telecommunications Engineering Professionals nfd,
263311,Telecommunications Engineer,
263312,Telecommunications Network Engineer,
2633,Telecommunications Engineering Professionals,
270000,"Legal, Social and Welfare Professionals nfd",
271000,Legal Professionals nfd,
271111,Barrister,
271200,Judicial and Other Legal Professionals nfd,
271211,Judge,
271212,Magistrate,
271213,Tribunal Member,
271214,Intellectual Property Lawyer,
271299,Judicial and Other Legal Professionals nec,
2712,Judicial and Other Legal Professionals,
271311,Solicitor,
272000,Social and Welfare Professionals nfd,
272100,Counsellors nfd,
272111,Careers Counsellor,
272112,Drug and Alcohol Counsellor,
272113,Family and Marriage Counsellor,
272114,Rehabilitation Counsellor,
272115,Student Counsellor,
272199,Counsellors nec,
2721,Counsellors,
272211,Minister of Religion,
272300,Psychologists nfd,
272311,Clinical Psychologist,
272312,Educational Psychologist,
272313,Organisational Psychologist,
272314,Psychotherapist,
272399,Psychologists nec,
2723,Psychologists,
272400,Social Professionals nfd,
272411,Historian,
272412,Interpreter,
272413,Translator,
272414,Archaeologist,
272499,Social Professionals nec,
2724,Social Professionals,
272511,Social Worker,
272600,"Welfare, Recreation and Community Arts Workers nfd",
272611,Community Arts Worker,
272612,Recreation Officer,
272613,Welfare Worker,
2726,"Welfare, Recreation and Community Arts Workers",
300000,Technicians and Trades Workers nfd,
310000,"Engineering, ICT and Science Technicians nfd",
311000,"Agricultural, Medical and Science Technicians nfd",
311111,Agricultural Technician,
311200,Medical Technicians nfd,
311211,Anaesthetic Technician,
311212,Cardiac Technician,
311213,Medical Laboratory Technician,
311214,Operating Theatre Technician,
311215,Pharmacy Technician,
311216,Pathology Collector,
311299,Medical Technicians nec,
3112,Medical Technicians,
311300,Primary Products Inspectors nfd,
311311,Fisheries Officer,
311312,Meat Inspector,
311313,Quarantine Officer,
311399,Primary Products Inspectors nec,
3113,Primary Products Inspectors,
311400,Science Technicians nfd,
311411,Chemistry Technician,
311412,Earth Science Technician,
311413,Life Science Technician,
311414,School Laboratory Technician,
311415,Hydrographer,
311499,Science Technicians nec,
3114,Science Technicians,
312000,Building and Engineering Technicians nfd,
312100,"Architectural, Building and Surveying Technicians nfd",
312111,Architectural Draftsperson,
312112,Building Associate,
312113,Building Inspector,
312114,Construction Estimator,
312115,Plumbing Inspector,
312116,Surveying or Spatial Science Technician,
312199,"Architectural, Building and Surveying Technicians nec",
3121,"Architectural, Building and Surveying Technicians",
312200,Civil Engineering Draftspersons and Technicians nfd,
312211,Civil Engineering Draftsperson,
312212,Civil Engineering Technician,
3122,Civil Engineering Draftspersons and Technicians,
312300,Electrical Engineering Draftspersons and Technicians nfd,
312311,Electrical Engineering Draftsperson,
312312,Electrical Engineering Technician,
3123,Electrical Engineering Draftspersons and Technicians,
312400,Electronic Engineering Draftspersons and Technicians nfd,
312411,Electronic Engineering Draftsperson,
312412,Electronic Engineering Technician,
3124,Electronic Engineering Draftspersons and Technicians,
312500,Mechanical Engineering Draftspersons and Technicians nfd,
312511,Mechanical Engineering Draftsperson,
312512,Mechanical Engineering Technician,
3125,Mechanical Engineering Draftspersons and Technicians,
312611,Safety Inspector,
312900,Other Building and Engineering Technicians nfd,
312911,Maintenance Planner,
312912,Metallurgical or Materials Technician,
312913,Mine Deputy,
312999,Building and Engineering Technicians nec,
3129,Other Building and Engineering Technicians,
313000,ICT and Telecommunications Technicians nfd,
313100,ICT Support Technicians nfd,
313111,Hardware Technician,
313112,ICT Customer Support Officer,
313113,Web Administrator,
313199,ICT Support Technicians nec,
3131,ICT Support Technicians,
313200,Telecommunications Technical Specialists nfd,
313211,Radiocommunications Technician,
313212,Telecommunications Field Engineer,
313213,Telecommunications Network Planner,
313214,Telecommunications Technical Officer or Technologist,
3132,Telecommunications Technical Specialists,
320000,Automotive and Engineering Trades Workers nfd,
321000,Automotive Electricians and Mechanics nfd,
321111,Automotive Electrician,
321200,Motor Mechanics nfd,
321211,Motor Mechanic (General),
321212,Diesel Motor Mechanic,
321213,Motorcycle Mechanic,
321214,Small Engine Mechanic,
3212,Motor Mechanics,
322000,Fabrication Engineering Trades Workers nfd,
322100,"Metal Casting, Forging and Finishing Trades Workers nfd",
322111,Blacksmith,
322112,Electroplater,
322113,Farrier,
322114,Metal Casting Trades Worker,
322115,Metal Polisher,
3221,"Metal Casting, Forging and Finishing Trades Workers",
322211,Sheetmetal Trades Worker,
322300,Structural Steel and Welding Trades Workers nfd,
322311,Metal Fabricator,
322312,Pressure Welder,
322313,Welder (First Class),
3223,Structural Steel and Welding Trades Workers,
323000,Mechanical Engineering Trades Workers nfd,
323100,Aircraft Maintenance Engineers nfd,
323111,Aircraft Maintenance Engineer (Avionics),
323112,Aircraft Maintenance Engineer (Mechanical),
323113,Aircraft Maintenance Engineer (Structures),
3231,Aircraft Maintenance Engineers,
323200,Metal Fitters and Machinists nfd,
323211,Fitter (General),
323212,Fitter and Turner,
323213,Fitter-Welder,
323214,Metal Machinist (First Class),
323215,"Textile, Clothing and Footwear Mechanic",
323299,Metal Fitters and Machinists nec,
3232,Metal Fitters and Machinists,
323300,Precision Metal Trades Workers nfd,
323311,Engraver,
323312,Gunsmith,
323313,Locksmith,
323314,Precision Instrument Maker and Repairer,
323315,Saw Doctor,
323316,Watch and Clock Maker and Repairer,
3233,Precision Metal Trades Workers,
323400,Toolmakers and Engineering Patternmakers nfd,
323411,Engineering Patternmaker,
323412,Toolmaker,
3234,Toolmakers and Engineering Patternmakers,
324000,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters nfd",
324111,Panelbeater,
324200,Vehicle Body Builders and Trimmers nfd,
324211,Vehicle Body Builder,
324212,Vehicle Trimmer,
3242,Vehicle Body Builders and Trimmers,
324311,Vehicle Painter,
330000,Construction Trades Workers nfd,
331000,"Bricklayers, and Carpenters and Joiners nfd",
331100,Bricklayers and Stonemasons nfd,
331111,Bricklayer,
331112,Stonemason,
3311,Bricklayers and Stonemasons,
331211,Carpenter and Joiner,
331212,Carpenter,
331213,Joiner,
3312,Carpenters and Joiners,
332000,Floor Finishers and Painting Trades Workers nfd,
332111,Floor Finisher,
332211,Painting Trades Worker,
333000,"Glaziers, Plasterers and Tilers nfd",
333111,Glazier,
333200,Plasterers nfd,
333211,Fibrous Plasterer,
333212,Solid Plasterer,
3332,Plasterers,
333311,Roof Tiler,
333411,Wall and Floor Tiler,
334100,Plumbers nfd,
334111,Plumber (General),
334112,Airconditioning and Mechanical Services Plumber,
334113,Drainer,
334114,Gasfitter,
334115,Roof Plumber,
3341,Plumbers,
340000,Electrotechnology and Telecommunications Trades Workers nfd,
341100,Electricians nfd,
341111,Electrician (General),
341112,Electrician (Special Class),
341113,Lift Mechanic,
3411,Electricians,
342000,Electronics and Telecommunications Trades Workers nfd,
342111,Airconditioning and Refrigeration Mechanic,
342200,Electrical Distribution Trades Workers nfd,
342211,Electrical Linesworker,
342212,Technical Cable Jointer,
3422,Electrical Distribution Trades Workers,
342300,Electronics Trades Workers nfd,
342311,Business Machine Mechanic,
342312,Communications Operator,
342313,Electronic Equipment Trades Worker,
342314,Electronic Instrument Trades Worker (General),
342315,Electronic Instrument Trades Worker (Special Class),
3423,Electronics Trades Workers,
342400,Telecommunications Trades Workers nfd,
342411,Cabler (Data and Telecommunications),
342412,Telecommunications Cable Jointer,
342413,Telecommunications Linesworker,
342414,Telecommunications Technician,
3424,Telecommunications Trades Workers,
351000,Food Trades Workers nfd,
351100,Bakers and Pastrycooks nfd,
351111,Baker,
351112,Pastrycook,
3511,Bakers and Pastrycooks,
351211,Butcher or Smallgoods Maker,
351311,Chef,
351411,Cook,
360000,Skilled Animal and Horticultural Workers nfd,
361000,"Animal Attendants and Trainers, and Shearers nfd",
361100,Animal Attendants and Trainers nfd,
361111,Dog Handler or Trainer,
361112,Horse Trainer,
361113,Pet Groomer,
361114,Zookeeper,
361115,Kennel Hand,
361199,Animal Attendants and Trainers nec,
3611,Animal Attendants and Trainers,
361211,Shearer,
361311,Veterinary Nurse,
362000,Horticultural Trades Workers nfd,
362111,Florist,
362200,Gardeners nfd,
362211,Gardener (General),
362212,Arborist,
362213,Landscape Gardener,
3622,Gardeners,
362311,Greenkeeper,
362411,Nurseryperson,
390000,Other Technicians and Trades Workers nfd,
391111,Hairdresser,
392000,Printing Trades Workers nfd,
392100,Print Finishers and Screen Printers nfd,
392111,Print Finisher,
392112,Screen Printer,
3921,Print Finishers and Screen Printers,
392211,Graphic Pre-press Trades Worker,
392300,Printers nfd,
392311,Printing Machinist,
392312,Small Offset Printer,
3923,Printers,
393000,"Textile, Clothing and Footwear Trades Workers nfd",
393100,Canvas and Leather Goods Makers nfd,
393111,Canvas Goods Fabricator,
393112,Leather Goods Maker,
393113,Sail Maker,
393114,Shoemaker,
